CASE_COUNT,PROBABLE_CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,PROBABLE_DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BX_PROBABLE_DEATH_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_PROBABLE_CASE_COUNT_7DAY_AVG,BX_ALL_CASE_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT_7DAY_AVG,BX_DEATH_COUNT_7DAY_AVG,BX_ALL_DEATH_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_PROBABLE_DEATH_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_PROBABLE_CASE_COUNT_7DAY_AVG,BK_ALL_CASE_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT_7DAY_AVG,BK_DEATH_COUNT_7DAY_AVG,BK_ALL_DEATH_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,MN_PROBABLE_DEATH_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_PROBABLE_CASE_COUNT_7DAY_AVG,MN_ALL_CASE_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT_7DAY_AVG,MN_DEATH_COUNT_7DAY_AVG,MN_ALL_DEATH_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,QN_PROBABLE_DEATH_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_PROBABLE_CASE_COUNT_7DAY_AVG,QN_ALL_CASE_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT_7DAY_AVG,QN_DEATH_COUNT_7DAY_AVG,QN_ALL_DEATH_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT,SI_PROBABLE_DEATH_COUNT,SI_PROBABLE_CASE_COUNT_7DAY_AVG,SI_CASE_COUNT_7DAY_AVG,SI_ALL_CASE_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT_7DAY_AVG,SI_DEATH_COUNT_7DAY_AVG,SI_ALL_DEATH_COUNT_7DAY_AVG,Year,Month,ICD10_codes,Age Group,COVID-19 Deaths,inpatient_beds_used_covid,total_staffed_pediatric_icu_beds,all_pediatric_inpatient_beds,all_pediatric_inpatient_bed_occupied,Hispanic,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Black,Non-Hispanic More than one race,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non-Hispanic White,Unknown,index,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
65182,460,18361,2183,454,50414,50655,13409,1248,1482,12681,89,3789,468,89,9461,47,9507,2752,256,302,18516,136,5295,663,134,14339,68,14407,3791,365,431,9538,75,2713,287,71,7762,39,7804,2062,176,212,19982,148,5993,654,148,15286,74,15364,4358,382,459,4462,12,747,111,12,11,3564,3575,553,67,75,2020,3,U071,All Ages,7160.0,69345.0,0.0,0.0,0.0,2109.0,30.0,799.0,4243.0,19.0,6.0,6480.0,161.0,2,269806,247634,3669,51640,8433,11385,7579,15284,4499,4727,2808,60229,13742,15444.0,2874.0,3952.0,1693.0,7268.0,7175,6785
109296,3970,27414,12716,3968,117602,121671,31440,12934,16997,26882,817,6194,2628,817,28556,838,29391,7003,2692,3528,28742,1337,7691,3856,1337,31099,1362,32464,8937,3949,5309,11740,506,3836,1625,505,12763,528,13291,4353,1633,2154,34120,1160,8888,4041,1160,36819,1201,38021,10245,4079,5281,7808,150,1258,566,149,146,8360,8507,1408,578,728,2020,4,U071,All Ages,65477.0,1480052.0,0.0,0.0,0.0,22176.0,486.0,6860.0,32755.0,231.0,41.0,66383.0,1608.0,3,322424,300780,3366,48773,9440,12307,5781,13765,4026,4476,2826,62285,13420,15493.0,2569.0,3480.0,1756.0,7938.0,65553,62014
28416,472,3882,2810,456,33428,33999,4599,3397,3958,6495,87,942,582,84,7715,101,7822,1120,702,808,8654,181,1161,788,176,10030,217,10249,1356,956,1170,3794,82,542,390,81,4364,93,4460,648,471,562,8184,102,1069,896,95,9748,130,9873,1284,1083,1213,1289,20,230,154,20,19,1562,1589,265,180,206,2020,5,U071,All Ages,38301.0,1576579.0,0.0,0.0,0.0,12403.0,756.0,3192.0,15626.0,90.0,38.0,43559.0,377.0,4,280564,255489,3085,49012,8361,10706,3612,12064,3489,4122,2524,56561,12776,18205.0,3365.0,3769.0,2067.0,9466.0,38330,35279
10844,434,1517,668,80,11264,11668,1599,758,847,2248,99,315,148,14,2392,99,2489,336,168,185,3111,131,547,178,35,3252,121,3373,557,201,240,1733,61,204,97,8,1713,56,1766,215,114,121,3219,130,413,210,20,3366,119,3483,446,241,261,533,13,55,35,3,11,539,555,58,36,37,2020,6,U071,All Ages,18005.0,1285273.0,0.0,0.0,0.0,8529.0,669.0,1286.0,6851.0,55.0,82.0,17940.0,62.0,5,250456,225455,3036,47962,7629,9954,3074,10935,3281,4006,2496,53590,12315,17784.0,4026.0,3985.0,2261.0,8212.0,18026,15827
9794,564,1145,237,39,9994,10555,1165,260,302,2018,120,263,56,8,2018,121,2136,268,57,68,2707,165,358,66,12,2752,163,2917,371,68,88,1926,102,174,38,6,1973,102,2075,171,41,47,2497,154,305,68,11,2590,154,2744,312,76,87,646,23,55,9,2,29,659,681,53,8,8,2020,7,U071,All Ages,31113.0,2037154.0,184189.0,464996.0,320759.0,20038.0,758.0,1623.0,11102.0,145.0,134.0,27816.0,67.0,6,279012,252481,3127,50626,8641,11024,3333,11673,3309,4262,2887,57193,13024,18823.0,4107.0,4184.0,2426.0,8583.0,31135,28279
7446,686,948,107,26,7554,8235,964,114,137,1624,175,250,32,4,1678,165,1840,253,35,37,2262,220,307,24,11,2269,218,2487,316,31,36,1282,99,114,18,6,1310,102,1411,123,20,25,1852,168,244,29,4,1880,173,2050,242,33,35,426,24,43,4,1,26,419,449,46,0,0,2020,8,U071,All Ages,29884.0,1684264.0,389684.0,1225400.0,718222.0,15704.0,552.0,1589.0,10705.0,109.0,87.0,30493.0,54.0,7,277282,251071,3268,51209,8302,10966,3209,11516,3391,4231,2793,56245,13094,18762.0,4226.0,4055.0,2348.0,8351.0,29913,27031
11097,1145,918,111,15,10218,11243,872,103,118,1536,193,173,29,2,1492,184,1677,177,30,30,4451,473,379,40,6,3985,410,4394,348,33,40,1762,147,100,12,5,1676,130,1805,89,10,15,2608,280,235,26,2,2385,246,2636,225,27,28,737,52,40,4,0,47,681,729,40,0,0,2020,9,U071,All Ages,19138.0,1153739.0,395270.0,1281412.0,726308.0,7263.0,386.0,1082.0,5914.0,82.0,102.0,23069.0,20.0,8,257190,232827,3136,49671,7994,10471,3083,11066,3303,3990,2583,53889,12771,17234.0,4083.0,3925.0,2191.0,7589.0,19158,16858
16925,4008,1553,157,16,16706,20298,1527,156,174,2552,595,236,21,0,2420,517,2938,224,23,23,6127,1282,660,63,9,6294,1215,7507,662,61,70,2599,670,166,20,1,2518,568,3086,168,15,16,4322,1040,396,41,4,4238,936,5175,383,39,41,1318,419,109,12,2,350,1231,1578,99,5,11,2020,10,U071,All Ages,24903.0,1389514.0,472462.0,1513673.0,865829.0,6904.0,697.0,930.0,5487.0,83.0,65.0,35200.0,29.0,9,273906,249366,3250,51255,8316,11066,3339,11599,3558,4237,2687,56898,13615,17262.0,4192.0,3804.0,2368.0,7486.0,24930,22083
44765,14512,3190,322,27,40134,53271,2866,296,319,7672,2533,602,51,6,6947,2268,9219,539,47,52,12276,3810,923,116,7,10970,3442,14412,859,116,123,7693,2645,419,39,4,6964,2427,9388,364,37,40,11811,3931,902,69,8,10574,3533,14107,799,63,69,5312,1593,390,47,2,1464,4682,6144,347,47,47,2020,11,U071,All Ages,53208.0,2422022.0,583707.0,1758418.0,1010912.0,14194.0,1479.0,2077.0,9845.0,162.0,97.0,78206.0,55.0,10,302583,278769,3388,49658,8887,11631,3538,12006,3641,4404,2842,58308,13557,16818.0,3802.0,3716.0,2242.0,7417.0,53250,48037
97797,26734,7645,1013,82,91166,116993,7217,929,1007,16819,4725,1468,149,9,15366,4577,19943,1379,141,147,28790,7318,2339,292,32,26938,7047,33983,2183,251,284,13618,4068,1083,139,13,13041,4021,17060,1022,129,141,28468,8299,2173,276,17,26274,7901,34174,2050,258,271,10096,2318,669,157,11,2279,9544,11821,666,150,161,2020,12,U071,All Ages,98080.0,3701991.0,606517.0,1783041.0,1004560.0,30307.0,2399.0,6682.0,19701.0,493.0,259.0,136031.0,215.0,11,367209,342681,3778,51907,10305,13195,4284,13055,4099,4750,3241,65414,15271,17699.0,3586.0,3581.0,2230.0,7760.0,98175,89612
